# file: dek2anki.csv
# date: 2020-09-17 (YYYY-MM-DD)
# data: 26005
#
-heit; <img src="DEK_VS_steno_svg_-_-heit.svg">; DEK_b heit
-heit_-ung; <img src="DEK_VS_steno_svg_-_-heit_-ung.svg">; DEK_b heit
-keit; <img src="DEK_VS_steno_svg_-_-keit.svg">; DEK_b
-llung; <img src="DEK_VS_steno_svg_-_-llung.svg">; DEK_b lung
-schaft; <img src="DEK_VS_steno_svg_-_-schaft.svg">; DEK_b schaft
-ung; <img src="DEK_VS_steno_svg_-_-ung.svg">; DEK_b
-ung_v2; <img src="DEK_VS_steno_svg_-_-ung_v2.svg">; DEK_b
12_Grundlinien; <img src="DEK_VS_steno_svg_-_12_Grundlinien.svg">; DEK_b gr
13_Grad_Celsius; <img src="DEK_VS_steno_svg_-_13_Grad_Celsius.svg">; DEK_b gr
18_PS_(Pferdestärken); <img src="DEK_VS_steno_svg_-_18_PS_(Pferdestärken).svg">; DEK_b st
310_Grad_Kelvin; <img src="DEK_VS_steno_svg_-_310_Grad_Kelvin.svg">; DEK_b gr
32_Grad_Fahrenheit; <img src="DEK_VS_steno_svg_-_32_Grad_Fahrenheit.svg">; DEK_b gr heit
32_Grad_Fahrenheit_v2; <img src="DEK_VS_steno_svg_-_32_Grad_Fahrenheit_v2.svg">; DEK_b gr heit
A-320_(Flugzeug); <img src="DEK_VS_steno_svg_-_A-320_(Flugzeug).svg">; DEK_b
A-Saite; <img src="DEK_VS_steno_svg_-_A-Saite.svg">; DEK_b
A-Saite_v2; <img src="DEK_VS_steno_svg_-_A-Saite_v2.svg">; DEK_b
A-Team; <img src="DEK_VS_steno_svg_-_A-Team.svg">; DEK_b
a._D._(außer_Dienst); <img src="DEK_VS_steno_svg_-_a._D._(außer_Dienst).svg">; DEK_b
a; <img src="DEK_VS_steno_svg_-_a.svg">; DEK_b
A_(Großbuchstabe); <img src="DEK_VS_steno_svg_-_A_(Großbuchstabe).svg">; DEK_b gr st
a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_ll_m_n_o_p_r_t_tr_v_w_ö_ü; <img src="DEK_VS_steno_svg_-_a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_ll_m_n_o_p_r_t_tr_v_w_ö_ü.svg">; DEK_b br gr tr
a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_ll_m_n_o_p_r_t_tr_v_w_ö_ü_v2; <img src="DEK_VS_steno_svg_-_a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_ll_m_n_o_p_r_t_tr_v_w_ö_ü_v2.svg">; DEK_b br gr tr
a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_m_n_o_p_r_s_t_tr_v_w; <img src="DEK_VS_steno_svg_-_a_b_br_d_e_f_g_gr_gl_h_i_j_k_l_m_n_o_p_r_s_t_tr_v_w.svg">; DEK_b br gr tr
A_bis_Z; <img src="DEK_VS_steno_svg_-_A_bis_Z.svg">; DEK_b bis
AA_(Auswärtiges_Amt); <img src="DEK_VS_steno_svg_-_AA_(Auswärtiges_Amt).svg">; DEK_b aus
Aachen; <img src="DEK_VS_steno_svg_-_Aachen.svg">; DEK_b
Aachen_v2; <img src="DEK_VS_steno_svg_-_Aachen_v2.svg">; DEK_b
Aal; <img src="DEK_VS_steno_svg_-_Aal.svg">; DEK_b
Aale; <img src="DEK_VS_steno_svg_-_Aale.svg">; DEK_b
Aas; <img src="DEK_VS_steno_svg_-_Aas.svg">; DEK_b
Aasgeier; <img src="DEK_VS_steno_svg_-_Aasgeier.svg">; DEK_b
Aasvögel; <img src="DEK_VS_steno_svg_-_Aasvögel.svg">; DEK_b
ab; <img src="DEK_VS_steno_svg_-_ab.svg">; DEK_b
ab_hängen; <img src="DEK_VS_steno_svg_-_ab_hängen.svg">; DEK_b
ab_Oktober; <img src="DEK_VS_steno_svg_-_ab_Oktober.svg">; DEK_b
abartig; <img src="DEK_VS_steno_svg_-_abartig.svg">; DEK_b
Abb_Abbildung; <img src="DEK_VS_steno_svg_-_Abb_Abbildung.svg">; DEK_b
ABBA; <img src="DEK_VS_steno_svg_-_ABBA.svg">; DEK_b
Abbau; <img src="DEK_VS_steno_svg_-_Abbau.svg">; DEK_b
abbauen; <img src="DEK_VS_steno_svg_-_abbauen.svg">; DEK_b
abbiegen; <img src="DEK_VS_steno_svg_-_abbiegen.svg">; DEK_b
Abbiegung; <img src="DEK_VS_steno_svg_-_Abbiegung.svg">; DEK_b
Abbildung; <img src="DEK_VS_steno_svg_-_Abbildung.svg">; DEK_b
Abbitte; <img src="DEK_VS_steno_svg_-_Abbitte.svg">; DEK_b
abbleiben; <img src="DEK_VS_steno_svg_-_abbleiben.svg">; DEK_b
abblitzen; <img src="DEK_VS_steno_svg_-_abblitzen.svg">; DEK_b
abbrechen; <img src="DEK_VS_steno_svg_-_abbrechen.svg">; DEK_b br
abbringen; <img src="DEK_VS_steno_svg_-_abbringen.svg">; DEK_b br
Abbruch; <img src="DEK_VS_steno_svg_-_Abbruch.svg">; DEK_b br
Abbuchung; <img src="DEK_VS_steno_svg_-_Abbuchung.svg">; DEK_b
ABC-Waffen; <img src="DEK_VS_steno_svg_-_ABC-Waffen.svg">; DEK_b
abc; <img src="DEK_VS_steno_svg_-_abc.svg">; DEK_b
abdecken; <img src="DEK_VS_steno_svg_-_abdecken.svg">; DEK_b
Abdecker; <img src="DEK_VS_steno_svg_-_Abdecker.svg">; DEK_b
Abdeckplane; <img src="DEK_VS_steno_svg_-_Abdeckplane.svg">; DEK_b
abdriften; <img src="DEK_VS_steno_svg_-_abdriften.svg">; DEK_b
Abdruck; <img src="DEK_VS_steno_svg_-_Abdruck.svg">; DEK_b
